sport,tournament_name,level,start_date,end_date,official_url,streaming,image,summary
Cricket,Syed Mushtaq Ali Trophy,National,2025-10-15,2025-11-10,https://www.bcci.tv/domestic,https://www.hotstar.com/,https://example.com/images/smat.png,India's domestic T20 championship featuring state teams; key platform for emerging talent.
Football,Durand Cup,National,2025-08-25,2025-09-20,https://www.the-aiff.com/,https://www.jiocinema.com/,https://example.com/images/durand.png,Historic Indian football tournament with clubs from ISL and I-League; knockout and group stages.
Badminton,India Open Super 750,International,2026-01-13,2026-01-18,https://bwfworldtour.bwfbadminton.com/,https://www.jiocinema.com/,https://example.com/images/indiaopen.png,"BWF World Tour Super 750 event hosted in India, featuring top-ranked international players."
Running,Airtel Delhi Half Marathon,International,2025-10-19,2025-10-19,https://adhm.procam.in/,https://www.youtube.com/,https://example.com/images/adhm.png,World Athletics Elite Label road race attracting elite runners and mass participation.
Chess,National Schools Chess Championship,School,2025-12-05,2025-12-10,https://aicf.in/,,https://example.com/images/chess.png,AICF recognized national-level event for school players across age categories.
Kabaddi,Pro Kabaddi League,National,2025-12-01,2026-02-20,https://www.prokabaddi.com/,https://www.jiocinema.com/,https://example.com/images/pkl.png,Top professional kabaddi league in India featuring franchise teams in a caravan format.
Basketball,U18 State Basketball Championship (UP),State,2025-09-10,2025-09-14,https://www.bfi.org.in/,,https://example.com/images/basketball.png,State-level youth basketball championship organized under BFI guidelines.
Table Tennis,National Ranking Table Tennis (East Zone),Zonal/Regional,2025-09-18,2025-09-22,https://www.ttfi.org/,,https://example.com/images/tt.png,Zonal ranking event contributing to national standings for multiple age categories.
Swimming,Khelo India University Games - Aquatics,College/University,2025-11-05,2025-11-09,https://kheloindia.gov.in/,https://www.jiocinema.com/,https://example.com/images/khelo-swim.png,University-level swimming championships with heats and finals across standard events.
Cycling,National Road Cycling Championships,National,2025-12-12,2025-12-16,https://cyclingfederationofindia.org/,,https://example.com/images/cycling.png,Time-trial and road-race events across elite and junior categories.
Yoga,Inter-District Yoga Championship (Haryana),District,2025-09-07,2025-09-07,https://yogasportsfederation.in/,,https://example.com/images/yoga.png,District-level asana and rhythm events following national yoga sports rules.
Gym,Delhi Classic Bodybuilding Championship,Club/Academy,2025-09-28,2025-09-28,https://indianbodybuilding.co.in/,,https://example.com/images/gym.png,Amateur bodybuilding competition across weight classes under local federation.
